Departement,Adresse,Ville,Code postale,E10,E85,SP98,GAZOLE,
44,Avenue des Visitandines,LEGE,44650,1.93 €,0.70 €,2.02 €,1.93 €,
44,BD CHARLES DE GAULLE - CD 17,Saint-Herblain,44800,1.83 €,,1.94 €,1.89 €,
44,BOULEVARD BAD BRUCKENAU,ANCENIS,44150,1.93 €,,2.02 €,1.92 €,
44,15 Rue de Sucé,La Chapelle-sur-Erdre,44240,1.92 €,,2.02 €,1.94 €,
44,ROUTE BLEUE - LA HAUTIERE,Saint-Brevin-les-Pins,44250,1.83 €,0.92 €,1.95 €,1.89 €,
44,6 Rue des Ardillets,COUëRON,44220,,,,1.99 €,
44,Rue des Malifestes,Clisson,44190,1.86 €,0.67 €,2.01 €,1.93 €,
44, Rue du Stade,DONGES,44480,1.97 €,,2.08 €,1.95 €,
44,48 Rue Châteaubriant,DERVAL,44590,1.85 €,,1.95 €,1.92 €,
44,93 Rue François-René de Chateaubriand,Carquefou,44470,,,,1.98 €,
44,Rue de Villejames,Guérande,44350,1.86 €,,1.96 €,1.91 €,
44,ESPACE CIAL GRAND LAC,SAINT-PHILBERT-DE-GRAND-LIEU,44310,1.86 €,,1.95 €,1.92 €,
44,57 A 61  BD DU TERTRE,NANTES,44100,1.83 €,,1.94 €,1.89 €,
44,Lieu-dit Le Mortier,Derval,44590,,,,2.04 €,
44,Route de Gorges,Clisson,44190,,,2.24 €,2.19 €,
44,2 rue des Pins,LA TURBALLE,44420,1.85 €,,1.94 €,1.94 €,
44,CD 723 - ZI DE CHEVIRE,BOUGUENAIS,44340,1.83 €,0.90 €,1.94 €,1.89 €,
44,24   ROUTE DE COUERON,SAINT-ÉTIENNE-DE-MONTLUC,44360,1.84 €,,1.93 €,1.90 €,
44,ZA LE BUTAI,Arthon-en-Retz,44320,1.96 €,,2.04 €,1.94 €,
44,AIRES DES AJONCS,Bouguenais,44340,1.86 €,0.95 €,1.96 €,1.90 €,
44,Rue des Vignes,PONT-SAINT-MARTIN,44860,1.89 €,,1.98 €,1.96 €,
44,rue des artisans,MESQUER,44420,,,1.99 €,1.98 €,
44,AUTOROUTE A11 - AIRE VARADES LA BÉDOIRE,VARADES,44370,1.92 €,0.89 €,2.03 €,1.99 €,
44,Zone Atlantis,Saint-Herblain,44800,1.83 €,0.70 €,1.94 €,1.89 €,
44,Rue de Cornen,LE POULIGUEN,44510,1.88 €,,1.95 €,1.93 €,
44,Parc comemrcial de la Colleraye,SAVENAY,44260,1.85 €,0.70 €,1.94 €,1.89 €,
44,RN 171,TRIGNAC,44570,1.97 €,0.97 €,2.11 €,2.07 €,
44,54 Rue Léon Bourgeois,SAINT-NAZAIRE,44600,1.84 €,,1.93 €,1.92 €,
44,23 rue des chenes,Riaille,44440,,,2.08 €,2.05 €,
44,89  rue du Souvenir,LIGNE,44850,1.90 €,,2.00 €,1.93 €,
44,Espace 23 SAINT-GEREON,ANCENIS,44150,1.82 €,0.73 €,1.92 €,1.91 €,
44,Avenue de la Libération,La Montagne,44620,1.91 €,0.70 €,2.02 €,1.92 €,
44,ROUTE NATIONALE 165,Vigneux-de-Bretagne,44360,1.83 €,,1.94 €,1.89 €,
44,ROUTE NATIONALE 137 - AIRE DE TREILLIÈRES,TREILLIERES,44119,1.91 €,0.88 €,2.02 €,1.96 €,
44,16 BD DES MARTYRS NANTAIS,NANTES,44200,1.93 €,,2.04 €,2.00 €,
44,AUTOROUTE A83 - AIRE DE LA GRASSINIÈRE,LES SORINIERES,44840,null,null,null,null,
44,LIEU DIT RETON,Saint-Nazaire,44600,1.83 €,0.87 €,1.94 €,1.89 €,
44,Route de Nantes ,PORNIC,44210,1.96 €,,,1.96 €,
44,205 ROUTE DE VANNES,Saint-Herblain,44800,1.93 €,,2.04 €,1.99 €,
44,RUE DES SPORTS ZA DE BELLEVUE,Grandchamp-des-Fontaines,44119,1.91 €,,2.00 €,1.93 €,
44,78 BD ROBERT SCHUMAN,NANTES,44300,1.94 €,0.87 €,2.05 €,2.01 €,
44,1 Rue de la Conraie,Orvault,44700,1.83 €,,1.96 €,1.90 €,
44,rue emmanuel provost,LE CROISIC,44490,1.88 €,0.88 €,1.96 €,1.93 €,
44,Canton de la Haute Landelle  Routes de Nantes,Loroux-Bottereau,44430,1.86 €,0.73 €,1.96 €,1.91 €,
